census_tract,county,state,full_fips,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_poverty
2509,Essex,Massachusetts,25009250900,35119,2425,0.9868041237113402,0.3333333333333333,0.3446843853820598
2510,Essex,Massachusetts,25009251000,40880,1907,0.9386470896696382,0.28183361629881154,0.3036182485579444
2511,Essex,Massachusetts,25009251100,20716,2857,0.7931396569828492,0.686471009305655,0.2348714069591528
2512,Essex,Massachusetts,25009251200,23688,1494,0.9745649263721553,0.47448275862068967,0.3514056224899598
2513,Essex,Massachusetts,25009251300,41769,3677,0.9483274408485178,0.4243137254901961,0.3255051884216275
2514,Essex,Massachusetts,25009251400,47113,5570,0.9086175942549372,0.21559074299634592,0.3565265283642372
2515,Essex,Massachusetts,25009251500,58601,7054,0.8698610717323505,0.2406888265919103,0.1648709951800397
2516,Essex,Massachusetts,25009251600,62188,6935,0.8881038211968277,0.18693781775518187,0.16149963950973323
2517,Essex,Massachusetts,25009251700,87958,5881,0.817377996939296,0.11039260969976905,0.19177377892030847
2518,Essex,Massachusetts,25009251800,73898,8482,0.6821504362178732,0.052513608709574125,0.10583592441999522
2521.01,Essex,Massachusetts,25009252101,70054,3529,0.41088126948143955,0.07196710075394105,0.10318362706083002
2521.02,Essex,Massachusetts,25009252102,137917,4607,0.29693943998263517,0.029138251704897707,0.014108964619057956
2522.01,Essex,Massachusetts,25009252201,104883,3450,0.2991304347826087,0.02158273381294964,0.06046511627906977
2522.02,Essex,Massachusetts,25009252202,110268,3611,0.247576848518416,0.029093931837073983,0.03129327056217114
2523,Essex,Massachusetts,25009252300,70708,8133,0.5935079306528956,0.1465986394557823,0.15128172749084481
2524,Essex,Massachusetts,25009252400,60515,4407,0.6678012253233492,0.11848958333333333,0.2423417290673928
2525.01,Essex,Massachusetts,25009252501,89413,5309,0.510265586739499,0.036797934151065206,0.09359512009149829
2525.02,Essex,Massachusetts,25009252502,86621,4837,0.41554682654537933,0.054673721340388004,0.13665120202446226
2526.01,Essex,Massachusetts,25009252601,97804,7175,0.37351916376306615,0.019978594363182306,0.049175747415479185
2526.02,Essex,Massachusetts,25009252602,119573,4765,0.30115424973767047,0.014721345951629864,0.0155299055613851
2526.03,Essex,Massachusetts,25009252603,103145,2989,0.28471060555369687,0.04143646408839779,0.03245232519237203
2531,Essex,Massachusetts,25009253100,94375,6343,0.1956487466498502,0.06515342580916351,0.10635249164145837
2532.01,Essex,Massachusetts,25009253201,109375,3171,0.10028382213812681,0.08591331269349846,0.05907036797934151
2532.02,Essex,Massachusetts,25009253202,93799,7538,0.32846908994428226,0.07097733184689707,0.16790339007711333
2532.03,Essex,Massachusetts,25009253203,170714,4185,0.16248506571087218,0.04188829787234043,0.028267697511476203
2532.04,Essex,Massachusetts,25009253204,173261,5572,0.2622038765254846,0.05319148936170213,0.013387126352466533
2532.05,Essex,Massachusetts,25009253205,250001,4038,0.08444774640911346,0.0,0.005200594353640416
2541,Essex,Massachusetts,25009254100,138924,6214,0.16977792082394594,0.01961523953225198,0.04382149186402449
2542,Essex,Massachusetts,25009254200,116625,5348,0.23597606581899777,0.09411172622043282,0.08348924228250701
2543.01,Essex,Massachusetts,25009254301,250001,4352,0.20519301470588236,0.005759539236861051,0.046223492971169886
2543.02,Essex,Massachusetts,25009254302,192708,4854,0.3275648949320148,0.005803830528148578,0.027606098063452822
2544.01,Essex,Massachusetts,25009254401,169531,3763,0.37390380015944724,0.0,0.024182832846133404
2544.02,Essex,Massachusetts,25009254402,152835,7907,0.45971923611989374,0.009121621621621622,0.008599974705956748
2544.03,Essex,Massachusetts,25009254403,219167,3951,0.22930903568716776,0.00916030534351145,0.010069713400464756
2601,Essex,Massachusetts,25009260100,34050,5495,0.6087352138307552,0.29216742644011606,0.33808479532163743
2602,Essex,Massachusetts,25009260200,49813,3718,0.39349112426035504,0.23880597014925373,0.16313858312164833
2603.01,Essex,Massachusetts,25009260301,94038,4596,0.20060922541340298,0.027960526315789474,0.07650032974280062
2603.02,Essex,Massachusetts,25009260302,140156,3623,0.14959977918851786,0.06264501160092807,0.01750917819824908
2604.01,Essex,Massachusetts,25009260401,100840,4088,0.20670254403131116,0.030704394942805538,0.10267747482191107
2604.02,Essex,Massachusetts,25009260402,101728,7034,0.24324708558430486,0.010484454085321764,0.03673120728929385
2605,Essex,Massachusetts,25009260500,115054,3886,0.2933607822954195,0.03015075376884422,0.06239782016348774
2606,Essex,Massachusetts,25009260600,85625,4021,0.5334493906988311,0.030453257790368272,0.16146881287726358
2607,Essex,Massachusetts,25009260700,69955,5405,0.33839037927844584,0.0772626931567329,0.14483412322274883
2608,Essex,Massachusetts,25009260800,61071,5395,0.6227988878591288,0.10887465690759378,0.1565168956554029
2609,Essex,Massachusetts,25009260900,73571,5331,0.38716938660664035,0.13401109057301294,0.09939759036144578
2610,Essex,Massachusetts,25009261000,90061,4171,0.35219371853272596,0.04767879548306148,0.04127992183683439
2611.01,Essex,Massachusetts,25009261101,122745,5187,0.06651243493348757,0.02688455455983131,0.03211907559733647
2611.02,Essex,Massachusetts,25009261102,110554,5323,0.3315799361262446,0.008704557091653867,0.03400338155175653
2621,Essex,Massachusetts,25009262100,100321,6717,0.07741551287777282,0.049167927382753406,0.08578725961538461
2631,Essex,Massachusetts,25009263100,181125,4521,0.12762663127626628,0.019088669950738917,0.034919928825622774
2641,Essex,Massachusetts,25009264100,131952,6742,0.05740136458024325,0.018752391886720246,0.03174132304954019
2651.01,Essex,Massachusetts,25009265101,136339,4021,0.07759263864710275,0.027369826435246995,0.02844311377245509
2651.02,Essex,Massachusetts,25009265102,163487,4434,0.11276499774470006,0.09242695289206918,0.031799729364005415
2661,Essex,Massachusetts,25009266100,97309,4465,0.115565509518477,0.024337479718766902,0.03983516483516483
2662,Essex,Massachusetts,25009266200,90580,5367,0.10303707844233279,0.1011426153195091,0.11198165488247659
2663,Essex,Massachusetts,25009266300,93450,3779,0.15003969304048692,0.11073636874648679,0.05947553392808867
2664,Essex,Massachusetts,25009266400,72417,3668,0.10659760087240999,0.03318722604884158,0.11095965103598691
2671.02,Essex,Massachusetts,25009267102,110512,5384,0.17217682020802383,0.012916045702930949,0.05478941483414089
2671.03,Essex,Massachusetts,25009267103,107902,1662,0.03309265944645001,0.08305647840531562,0.07280385078219014
2671.04,Essex,Massachusetts,25009267104,82581,2136,0.14653558052434457,0.10670194003527336,0.04307116104868914
2681,Essex,Massachusetts,25009268100,211607,2618,0.14056531703590525,0.024070021881838075,0.0546218487394958
2682,Essex,Massachusetts,25009268200,114921,7360,0.042934782608695654,0.04475982532751092,0.0673278390836709
2683,Essex,Massachusetts,25009268300,99826,4090,0.08850855745721276,0.0764915859255482,0.04547677261613692
2684,Essex,Massachusetts,25009268400,141563,4288,0.09165111940298509,0.056910569105691054,0.058531980174651874
2691,Essex,Massachusetts,25009269100,167625,6723,0.08403986315632905,0.004798080767692923,0.05955223880597015
2701,Essex,Massachusetts,25009270100,135396,6175,0.057651821862348185,0.032407407407407406,0.008641774009457035
4001,Norfolk,Massachusetts,25021400100,98103,5329,0.4205291799587164,0.33578431372549017,0.19671810900566516
4002.01,Norfolk,Massachusetts,25021400201,108554,3283,0.29119707584526344,0.4601571268237935,0.07645446238196771
4002.02,Norfolk,Massachusetts,25021400202,95299,3741,0.31301790964982623,0.4658553076402975,0.20714669532509403
4003,Norfolk,Massachusetts,25021400300,131786,4508,0.3249778172138421,0.3116438356164384,0.09425858951175407
4004.01,Norfolk,Massachusetts,25021400401,101563,4139,0.3585407103165016,0.45675057208237985,0.09829683698296837
4004.02,Norfolk,Massachusetts,25021400402,250001,2077,0.3293211362542128,0.17435897435897435,0.06070908207867897
4005,Norfolk,Massachusetts,25021400500,129250,5216,0.23140337423312884,0.3392784758816376,0.08416411042944785
4006,Norfolk,Massachusetts,25021400600,160078,5414,0.3688585149612117,0.18796992481203006,0.02997579594116552
4007,Norfolk,Massachusetts,25021400700,143846,3691,0.17529124898401516,0.3063063063063063,0.11053914928203738
4008,Norfolk,Massachusetts,25021400800,126814,5863,0.3329353573256012,0.30403800475059384,0.10484996510816469
4009,Norfolk,Massachusetts,25021400900,85972,3836,0.39572471324296143,0.3278094251683066,0.18010471204188483
4010,Norfolk,Massachusetts,25021401000,133321,3551,0.3424387496479865,0.13691756272401434,0.09630048009036996
4011,Norfolk,Massachusetts,25021401100,250001,4725,0.30920634920634915,0.09867549668874172,0.037167363096547175
4012.01,Norfolk,Massachusetts,25021401201,233795,5587,0.4215142294612493,0.03950743971267317,0.06862391930835735
4012.02,Norfolk,Massachusetts,25021401202,114000,1738,0.42405063291139244,0.17350157728706625,0.03867403314917127
4021.01,Norfolk,Massachusetts,25021402101,130304,3531,0.17615406400453126,0.06188281764318631,0.04389691305579156
4021.02,Norfolk,Massachusetts,25021402102,81364,4398,0.31264211005002274,0.10409556313993173,0.07863876753276615
4022,Norfolk,Massachusetts,25021402200,133125,2265,0.15187637969094925,0.04225352112676056,0.038529672276350756
4023,Norfolk,Massachusetts,25021402300,153788,4602,0.15797479356801392,0.03720405862457723,0.025502143985556308
4024,Norfolk,Massachusetts,25021402400,115605,6377,0.1165124666771209,0.06659656501927795,0.022424337462756783
4025,Norfolk,Massachusetts,25021402500,124688,3977,0.22680412371134018,0.1478156792339916,0.04472843450479233
4031,Norfolk,Massachusetts,25021403100,196071,7422,0.09727836162759362,0.03188879803761243,0.042093901780895844
4033,Norfolk,Massachusetts,25021403300,250001,4483,0.16328351550301134,0.03357472021066491,0.026236359414905968
4034,Norfolk,Massachusetts,25021403400,199783,7076,0.15418315432447716,0.0488390712570056,0.023342253939934582
4035.01,Norfolk,Massachusetts,25021403501,140833,2629,0.2362114872575124,0.1737012987012987,0.05073911306432281
4035.02,Norfolk,Massachusetts,25021403502,211957,4228,0.19867549668874174,0.03455019556714472,0.022479886417415995
4041,Norfolk,Massachusetts,25021404100,250001,4295,0.29988358556461003,0.03774981495188749,0.04432329936003793
4042.01,Norfolk,Massachusetts,25021404201,250001,3783,0.16838487972508587,0.06229508196721312,0.03231837606837607
4042.02,Norfolk,Massachusetts,25021404202,204236,5470,0.30182815356489945,0.04462326261887344,0.030588907947398512
4043.01,Norfolk,Massachusetts,25021404301,250001,5836,0.21161754626456475,0.00967221923696937,0.027416038382453736
4043.02,Norfolk,Massachusetts,25021404302,176875,3655,0.32311901504787965,0.05496828752642706,0.0343082114735658
4044,Norfolk,Massachusetts,25021404400,250001,6823,0.2762714348527041,0.05983889528193326,0.07537361923326835
4051,Norfolk,Massachusetts,25021405100,250001,5886,0.2330954808019028,0.01589825119236884,0.016170212765957447
4061.01,Norfolk,Massachusetts,25021406101,187663,5959,0.07987917435811376,0.04126547455295736,0.03753804531619885
4061.02,Norfolk,Massachusetts,25021406102,228636,6885,0.18881626724763978,0.014899211218229623,0.02832244008714597
4071.01,Norfolk,Massachusetts,25021407101,146069,4566,0.11476127901883482,0.018096906012842966,0.03838517538054269
4071.02,Norfolk,Massachusetts,25021407102,126662,3999,0.0925231307826957,0.01439342015078821,0.046261565391347834
